product_id,name,brand_name,category_id,category_lv1,category_lv2,category_lv3,product_url,cbf_score,absa_score,hybrid_score
197775295,Miếng lót sơ sinh Bobby Newborn 1-64 miếng - Tặng 4 miếng Tã Quần Một Bên NB size S,Bobby,10414,Mẹ & Bé,"Tã, Bỉm",Miếng lót sơ sinh,https://tiki.vn/product-p197775295.html?spid=197775296,0.9888437777992681,0.7100585495082977,0.9201598193208782
413088,Miếng Lót Sơ Sinh Bobby Fresh Newborn 2 - 40 (40 Miếng),Bobby,10414,Mẹ & Bé,"Tã, Bỉm",Miếng lót sơ sinh,https://tiki.vn/product-p413088.html?spid=116053,0.7395745435024377,0.8671874989623223,0.7710143833671356
260921798,Miếng Lót Bé Sơ Sinh Bobby Newborn 2 ( NB2 60 ) 60 Miếng Cho Bé Lớn Hơn 1 Tháng - Tã Lót Trẻ Sơ Sinh NB 2 > 1 Tháng,Bobby,10414,Mẹ & Bé,"Tã, Bỉm",Miếng lót sơ sinh,https://tiki.vn/product-p260921798.html?spid=260921799,0.5859932273862913,1.0,0.6879915439911213
272591116,[MỚI] Tã/bỉm quần Mở Một Bên Bobby,Bobby,2553,Mẹ & Bé,"Tã, Bỉm",Tã quần,https://tiki.vn/product-p272591116.html?spid=272591120,0.5286849666321021,0.8776656122021353,0.6146628798703058
58767957,Miếng lót siêu thấm Bobby Newborn 1 - 108 miếng,Bobby,10414,Mẹ & Bé,"Tã, Bỉm",Miếng lót sơ sinh,https://tiki.vn/product-p58767957.html?spid=197745554,0.52715528042024,0.8582352489479228,0.6087230268563898
277555077,[TẶNG KÈM 4 MIẾNG] Tã quần Bobby Siêu Khô Thoáng - 100% Thoáng Khí Mega Jumbo M112+4,Bobby,2553,Mẹ & Bé,"Tã, Bỉm",Tã quần,https://tiki.vn/product-p277555077.html?spid=277555078,0.45018644746837655,1.0,0.5856433059412514
110694825,Combo 1 Miếng lót siêu thấm Bobby Newborn 1 - 108 miếng và 1 Gói khăn ướt trẻ em Bobby care không hương 100 tờ,Bobby,10414,Mẹ & Bé,"Tã, Bỉm",Miếng lót sơ sinh,https://tiki.vn/product-p110694825.html?spid=242504980,0.5226301633956729,0.7767034106284096,0.5852258628535706
277561712,[TẶNG KÈM 4 MIẾNG] Tã quần Bobby Siêu Khô Thoáng - 100% Thoáng Khí Mega Jumbo - L96,Bobby,2553,Mẹ & Bé,"Tã, Bỉm",Tã quần,https://tiki.vn/product-p277561712.html?spid=277561713,0.4478791410774621,1.0,0.5839044476611711
277561743,[TẶNG KÈM 4 MIẾNG] Tã quần Bobby Siêu Khô Thoáng - 100% Thoáng Khí Mega Jumbo - XXL76,Bobby,2553,Mẹ & Bé,"Tã, Bỉm",Tã quần,https://tiki.vn/product-p277561743.html?spid=277561744,0.44751002417477537,1.0,0.583626269615515
260922791,Tặng thêm 6 miếng tã quần bên trong - Miếng Lót Bobby Newborn 1 108 Miếng Êm Mềm Khô Thoáng - Miếng lót sơ sinh Bobby NB1,Bobby,10414,Mẹ & Bé,"Tã, Bỉm",Miếng lót sơ sinh,https://tiki.vn/product-p260922791.html?spid=260922792,0.5918304377265441,0.5,0.5692062907782727
